Colony,ID,Age,Foraging,Nursing,Guarding,Incidental,Manipulating,Carrying,Antennating
60,RY,12d,,6,1,1,4,,
60,RO,12d,1,5,,0,5,,
60,RR,12d,,3,,1,2,,
60,RLG,12d,,4,,1,3,,
60,RLB,12d,,2,,0,2,,
60,RDB,12d,1,3,,0,3,,
60,RPU,12d,,3,,0,3,,
60,PIPI,12d,,4,,0,4,,
60,PIY,12d,,1,,0,1,,
60,PIO,12d,,4,,1,3,,
60,PIR,12d,,3,,2,1,,
60,LGPI,4m,,2,,0,2,,
60,LGY,4m,,3,,2,1,,
60,LGO,4m,1,,,0,0,,
60,LGR,4m,,,,0,0,,
60,LGLG,4m,1,,,0,0,,
60,LGLB,4m,,2,,0,2,,
60,LGDB,4m,,1,,1,0,,
60,LGPU,4m,,,,0,0,,
60,LBPI,4m,,,,0,0,,
60,LBY,4m,,2,,1,1,,
60,LBO,4m,1,1,,0,1,,
60,LBR,4m,,1,,0,1,,
60,LBLG,4m,,2,,0,2,,
60,LBLB,4m,,3,,2,1,,
60,LBDB,4m,1,3,1,1,1,,
60,LBPU,4m,,,,0,0,,
60,PUPI,4m,,,,0,0,,
60,PUY,4m,,1,,0,1,,
60,PUO,4m,,1,,1,0,,
60,PUR,4m,,2,,1,1,,
60,PULG,4m,2,1,,0,1,,
60,PULB,4m,,,,0,0,,
60,PUDB,4m,,1,,1,0,,
60,PUPU,4m,,2,,0,2,,
60,DBPI,4m,,1,,0,1,,
60,DBO,4m,,,,0,0,,
60,DBR,4m,1,1,1,0,0,,
60,DBLG,4m,,1,,1,0,,
60,DBLB,4m,,1,,1,0,,
60,DBDB,4m,,3,,2,1,,
