Vid,Frame,Ant,contact,nocontact,inspectingGrooming,antennating,carrying,incidental,guarding
2,1,1,,1,,,,,
2,1,2,,1,,,,,
2,1,3,,1,,,,,
2,1,4,,1,,,,,
2,1,5,,1,,,,,
2,1,6,,1,,,,,
2,1,7,,1,,,,,
2,1,8,,1,,,,,
2,1,9,,1,,,,,
2,1,10,,1,,,,,
2,1,11,,1,,,,,
2,1,12,,1,,,,,
2,1,13,1,,,,,1,
2,1,14,,1,,,,,
2,1,15,,1,,,,,
2,1,16,,1,,,,,
2,1,17,,1,,,,,
2,1,18,1,,1,,,,
2,1,19,,1,,,,,
2,1,20,1,,,,,1,
2,1,21,,1,,,,,
2,1,22,1,,1,,,,
2,1,23,,1,,,,,
2,1,24,,1,,,,,
2,2,1,,1,,,,,
2,2,2,,1,,,,,
2,2,3,,1,,,,,
2,2,4,,1,,,,,
2,2,5,,1,,,,,
2,2,6,,1,,,,,
2,2,7,,1,,,,,
2,2,8,,1,,,,,
2,2,9,,1,,,,,
2,2,10,,1,,,,,
2,2,11,,1,,,,,
2,2,12,,1,,,,,
2,2,13,,1,,,,,
2,2,14,1,,1,,,,
2,2,15,,1,,,,,
2,2,16,,1,,,,,
2,2,17,,1,,,,,
2,2,18,1,,1,,,,
2,2,19,,1,,,,,
2,2,20,,1,,,,,
2,2,21,,1,,,,,
2,2,22,1,,,,1,,
2,2,23,,1,,,,,
2,2,24,,1,,,,,
2,3,1,,1,,,,,
2,3,2,,1,,,,,
2,3,3,,1,,,,,
2,3,4,,1,,,,,
2,3,5,,1,,,,,
2,3,6,,1,,,,,
2,3,7,,1,,,,,
2,3,8,1,,1,,,,
2,3,9,1,,,,1,,
2,3,10,,1,,,,,
2,3,11,,1,,,,,
2,3,12,,1,,,,,
2,3,13,1,,, ,,1,
2,3,14,1,,1,,,,
2,3,15,,1,,,,,
2,3,16,,1,,,,,
2,3,17,,1,,,,,
2,3,18,1,,1,,,,
2,3,19,1,,,,1,,
2,3,20,1,,1,,,,
2,3,21,1,,,1,,,
2,3,22,1,,,,1,,
2,3,23,1,,1,,,,
2,3,24,,1,,,,,
3,1,1,,1,,,,,
3,1,2,,1,,,,,
3,1,3,,1,,,,,
3,1,4,,1,,,,,
3,1,5,,1,,,,,
3,1,6,,1,,,,,
3,1,7,,1,,,,,
3,1,8,1,,,,1,,
3,1,9,1,,,,,,1
3,1,10,,1,,,,,
3,1,11,,1,,,,,
3,1,12,,1,,,,,
3,1,13,1,,1,,,,
3,1,14,1,,1,,,,
3,1,15,,1,,,,,
3,1,16,,1,,,,,
3,1,17,,1,,,,,
3,1,18,,1,,,,,
3,1,19,1,,,,,,1
3,1,20,1,,1,,,,
3,1,21,,1,,,,,
3,1,22,1,,,,1,,
3,1,23,1,,1,,,,
3,1,24,,1,,,,,
3,2,1,,1,,,,,
3,2,2,,1,,,,,
3,2,3,,1,,,,,
3,2,4,,1,,,,,
3,2,5,,1,,,,,
3,2,6,,1,,,,,
3,2,7,,1,,,,,
3,2,8,1,,,,1,,
3,2,9,1,,,,1,,
3,2,10,,1,,,,,
3,2,11,1,,,,1,,
3,2,12,,1,,,,,
3,2,13,1,,,,,1,
3,2,14,1,,1,,,,
3,2,15,1,,,,,1,
3,2,16,1,,,,,1,
3,2,17,1,,,,,,1
3,2,18,1,,1, ,,,
3,2,19,1,,,,,,1
3,2,20,1,,,,1,,
3,2,21,,1,,,,,
3,2,22,1,,1,,,,
3,2,23,,1,,,,,
3,2,24,,1,,,,,
3,3,1,1,,1,,,,
3,3,2,1,,1,,,,
3,3,3,1,,1,,,,
3,3,4,,1,,,,,
3,3,5,,1,,,,,
3,3,6,,1,,,,,
3,3,7,,1,,,,,
3,3,8,1,,1,,,,
3,3,9,1,,1, ,,,
3,3,10,1,,1,,,,
3,3,11,1,,,,,,1
3,3,12,,1,,,,,
3,3,13,1,,,,,1,
3,3,14,1,,,,,,1
3,3,15,1,,1,,,,
3,3,16,1,,1,,,,
3,3,17,1,,1,,,,
3,3,18,1,,1,,,,
3,3,19,,1,,,,,
3,3,20,1,,,,,,1
3,3,21,,1,,,,,
3,3,22,1,,,,,,1
3,3,23,1,,,,,,1
3,3,24,1,,,,,,1
4,1,1,1,,,,1,,
4,1,2,1,,,,,,1
4,1,3,1,,,,1,,
4,1,4,,1,,,,,
4,1,5,1,,1,,,,
4,1,6,,1,,,,,
4,1,7,,1,,,,,
4,1,8,1,,1,,,,
4,1,9,1,,,,1,,
4,1,10,1,,,,1,,
4,1,11,1,,,,,,1
4,1,12,,1,,,,,
4,1,13,,1,,,,,
4,1,14,1,,1,,,,
4,1,15,1,,1,,,,
4,1,16,1,,1,,,,
4,1,17,1,,,,1,,
4,1,18,,1,,,,,
4,1,19,1,,,,,,1
4,1,20,1,,,,1,,
4,1,21,,1,,,,,
4,1,22,1,,,,,,1
4,1,23,,1,,,,,
4,1,24,1,,1,,,,
4,2,1,1,,,,,,1
4,2,2,1,,,,1,,
4,2,3,1,,,,,,1
4,2,4,1,,,,1,,
4,2,5,1,,,,1,,
4,2,6,1,,1,,,,
4,2,7,1,,,,1,,
4,2,8,1,,,,,,1
4,2,9,1,,,,1,,
4,2,10,1,,,,1,,
4,2,11,1,,,,,,1
4,2,12,,1,,,,,
4,2,13,,1,,,,,
4,2,14,,1,,,,,
4,2,15,1,,,,,1,
4,2,16,1,,,,,,1
4,2,17,1,,,,1,,
4,2,18,,1,,,,,
4,2,19,1,,,,1,,
4,2,20,,1,,,,,
4,2,21,,1,,,,,
4,2,22,1,,,,,,1
4,2,23,1,,1,,,,
4,2,24,1,,1,,,,
4,3,1,1,,,,1,,
4,3,2,1,,1,,,,
4,3,3,1,,,,,,1
4,3,4,1,,1,,,,
4,3,5,1,,,,,,1
4,3,6,1,,,,,,1
4,3,7,1,,,,1,,
4,3,8,1,,,,,,1
4,3,9,1,,,,1,,
4,3,10,1,,,,1,,
4,3,11,1,,,,1,,
4,3,12,,1,,,,,
4,3,13,,1,,,,,
4,3,14,,1,,,,,
4,3,15,1,,1,,,,
4,3,16,,1,,,,,
4,3,17,1,,,,,,1
4,3,18,,1,,,,,
4,3,19,1,,,,,,1
4,3,20,1,,1,,,,
4,3,21,,1,,,,,
4,3,22,1,,,,1,,
4,3,23,,1,,,,,
4,3,24,1,,1,,,,
5,1,1,1,,,,1,,
5,1,2,1,,,,1,,
5,1,3,1,,,,,,1
5,1,4,1,,,,1,,
5,1,5,1,,,,,,1
5,1,6,1,,1,,,,
5,1,7,1,,,,,,1
5,1,8,1,,,,,,1
5,1,9,1,,,,,,1
5,1,10,1,,,,1,,
5,1,11,1,,,,1,,
5,1,12,1,,,,,,1
5,1,13,,1,,,,,
5,1,14,,1,,,,,
5,1,15,,1,,,,,
5,1,16,1,,,,1,,
5,1,17,,1,,,,,
5,1,18,1,,1,,,,
5,1,19,1,,,,1,,
5,1,20,,1,,,,,
5,1,21,1,,1,,,,
5,1,22,1,,,,1,,
5,1,23,,1,,,,,
5,1,24,,1,,,,,
5,2,1,1,,,,1,,
5,2,2,1,,,,1,,
5,2,3,1,,,,,,1
5,2,4,1,,,,1,,
5,2,5,1,,,,,,1
